question,answer
"What are the safest methods of cooking meat (e.g. sautéing, boiling, broiling, or barbecuing)?","Cooking at high temperatures or with the food in direct contact 
with a flame or a hot surface, as in barbecuing or pan-frying, produces 
more of certain types of carcinogenic chemicals (such as polycyclic 
aromatic hydrocarbons and heterocyclic aromatic amines). However, there 
were not enough data for the IARC Working Group to reach a conclusion 
about whether the way meat is cooked affects the risk of cancer."
Is eating raw meat safer?,"There were no data to address this question in relation to cancer 
risk. However, the separate question of risk of infection from 
consumption of raw meat needs to be kept in mind."
"Red meat was classified as Group 2A, probably carcinogenic to humans. What does this mean exactly?","In the case of red meat, the classification is based on 
limited evidence from epidemiological studies showing positive 
associations between eating red meat and developing colorectal cancer as
 well as strong mechanistic evidence.Limited evidence means that a positive association has been 
observed between exposure to the agent and cancer but that other 
explanations for the observations (technically termed chance, bias, or 
confounding) could not be ruled out."
Why should I donate blood?,"Safe blood saves lives and improves health. Blood transfusion is needed for:women with complications of pregnancy, such as ectopic pregnancies and haemorrhage before, during or after childbirth;children with severe anaemia often resulting from malaria or malnutrition;people with severe trauma following man-made and natural disasters; andmany complex medical and surgical procedures and cancer patients.It is also needed for regular transfusions for people with conditions such as thalassaemia and sickle cell disease and is used to make products such as clotting factors for people with haemophilia.There is a constant need for regular blood supply because blood can be stored for only a limited time before use. Regular blood donations by a sufficient number of healthy people are needed to ensure that safe blood will be available whenever and wherever it is needed.Blood is the most precious gift that anyone can give to another person — the gift of life. A decision to donate your blood can save a life, or even several if your blood is separated into its components — red cells, platelets and plasma — which can be used individually for patients with specific conditions."
"Processed meat was classified as Group 1, carcinogenic to humans. What does this mean?","This category is used when there is sufficient evidence of 
carcinogenicity in humans. In other words, there is convincing evidence 
that the agent causes cancer. The evaluation is usually based on 
epidemiological studies showing the development of cancer in exposed 
humans.In the case of processed meat, this classification is based on
 sufficient evidence from epidemiological studies that eating processed 
meat causes colorectal cancer."
Processed meat was classified as carcinogenic to humans(Group 1). Tobacco smoking and asbestos are also both classified as carcinogenic to humans(Group 1). Does it mean that consumption of processed meat is as carcinogenic as tobacco smoking and asbestos?,"No, processed meat has been classified in the same category as 
causes of cancer such as tobacco smoking and asbestos (IARC Group 1, 
carcinogenic to humans), but this does NOT mean that they are all 
equally dangerous. The IARC classifications describe the strength of the
 scientific evidence about an agent being a cause of cancer, rather than
 assessing the level of risk."
What types of cancers are linked or associated with eating red meat?,"The strongest, but still limited, evidence for an association with
 eating red meat is for colorectal cancer. There is also evidence of 
links with pancreatic cancer and prostate cancer."
What types of cancers are linked or associated with eating processed meat?,"The IARC Working Group concluded that eating processed meat causes
 colorectal cancer. An association with stomach cancer was also seen, 
but the evidence is not conclusive."
How many cancer cases every year can be attributed to consumption of processed meat and red meat?,"According to the most recent estimates by the Global Burden of
 Disease Project, an independent academic research organization, about 
34 000 cancer deaths per year worldwide are attributable to diets high 
in processed meat.Eating red meat has not yet been established as a cause of 
cancer. However, if the reported associations were proven to be causal, 
the Global Burden of Disease Project has estimated that diets high in 
red meat could be responsible for 50 000 cancer deaths per year 
worldwide.These numbers contrast with about 1 million cancer deaths per 
year globally due to tobacco smoking, 600 000 per year due to alcohol 
consumption, and more than 200 000 per year due to air pollution."
Could you quantify the risk of eating red meat and processed meat?,"The consumption of processed meat was associated with small 
increases in the risk of cancer in the studies reviewed. In those 
studies, the risk generally increased with the amount of meat consumed. 
An analysis of data from 10 studies estimated that every 50 gram portion
 of processed meat eaten daily increases the risk of colorectal cancer 
by about 18%.The cancer risk related to the consumption of red meat is more
 difficult to estimate because the evidence that red meat causes cancer 
is not as strong. However, if the association of red meat and colorectal
 cancer were proven to be causal, data from the same studies suggest 
that the risk of colorectal cancer could increase by 17% for every 100 
gram portion of red meat eaten daily."
"Is the risk higher in children, in elderly people, in women, or in men? Are some people more at risk?",The available data did not allow conclusions about whether the risks differ in different groups of people.
What about people who have had colon cancer? Should they stop eating red meat?,The available data did not allow conclusions about risks to people who have already had cancer.
Should I stop eating meat?,"Eating meat has known health benefits. Many national health 
recommendations advise people to limit intake of processed meat and red 
meat, which are linked to increased risks of death from heart disease, 
diabetes, and other illnesses."
How much meat is it safe to eat?,"The risk increases with the amount of meat consumed, but the data 
available for evaluation did not permit a conclusion about whether a 
safe level exists."
What is WHO’s health recommendation to prevent cancer risk associated with eating red meat and processed meat?,"IARC is a research organization that evaluates the evidence 
available on the causes of cancer but does not make health 
recommendations as such. National governments and WHO are responsible 
for developing nutritional guidelines. This evaluation by IARC 
reinforces a 2002 recommendation from WHO that people who eat meat 
should moderate the consumption of processed meat to reduce the risk of 
colorectal cancer. Some other dietary guidelines also recommend limiting
 consumption of red meat or processed meat, but these are focused mainly
 on reducing the intake of fat and sodium, which are risk factors for 
cardiovascular disease and obesity. Individuals who are concerned about 
cancer could consider reducing their consumption of red meat or 
processed meat until updated guidelines related specifically to cancer 
have been developed."
Should we eat only poultry and fish?,The cancer risks associated with consumption of poultry and fish were not evaluated.
Should we be vegetarians?,"Vegetarian diets and diets that include meat have different 
advantages and disadvantages for health. However, this evaluation did 
not directly compare health risks in vegetarians and people who eat 
meat. That type of comparison is difficult because these groups can be 
different in other ways besides their consumption of meat."
Is there a type of red meat that is safer?,"A few studies have investigated the cancer risks associated with 
different types of red meat, such as beef and pork, and with different 
kinds of processed meats, like ham and hot dogs. However, there is not 
enough information to say whether higher or lower cancer risks are 
related to eating any particular type of red meat or processed meat."
"Could the preservation method influence the risk (e.g. salting, deep-freezing, or irradiation)?","Different preservation methods could result in the formation of 
carcinogens (e.g. N-nitroso compounds), but whether and how much this 
contributes to the cancer risk is unknown."
How many studies were evaluated?,"The IARC Working Group considered more than 800 different studies 
on cancer in humans (some studies provided data on both types of meat; 
in total more than 700 epidemiological studies provided data on red meat
 and more than 400 epidemiological studies provided data on processed 
meat)."
How many experts were involved in the evaluation?,The IARC Working Group consisted of 22 experts from 10 countries.
What actions do you think governments should take based on your results?,"IARC is a research organization that evaluates the evidence on the
 causes of cancer but does not make health recommendations as such. The 
IARC Monographs are, however, often used as a basis for making national 
and international policies, guidelines and recommendations to minimize 
cancer risks. Governments may decide to include this new information on 
the cancer hazards of processed meat in the context of other health 
risks and benefits in updating dietary recommendations."
What is avian influenza?,"Avian influenza viruses normally spread between birds. However, some viruses have been found to infect humans.When avian influenza infects humans, symptoms may range from 
mild upper respiratory infection (fever and cough) to severe pneumonia, 
acute respiratory distress syndrome (difficulty breathing), shock and 
even death."
Who is at risk for avian influenza?,"The primary risk factor for humans is exposure to infected 
live or dead poultry or contaminated environments, such as live bird 
markets. Slaughtering, defeathering, handling carcasses and preparing 
poultry for consumption, especially in household settings, are also risk
 factors.Although human-to-human transmission of avian influenza is 
thought to have occurred in some instances when there had been close or 
prolonged contact with a patient, no sustained human-to-human 
transmission has been identified to date."
How can human infections with avian influenza be prevented?,"As much as possible, residents and travellers in countries with known outbreaks of avian influenza in birds should avoid:poultry farmscontact with animals in live poultry marketsentering areas where poultry may be slaughteredcontact with any surfaces that appear to be contaminated with faeces from poultry or other animalsconsumption of raw or incompletely cooked meat or eggs.Good food safety and hand hygiene practices should also be followed, including regular handwashing with soap and water."
What should you do if you think someone may have avian influenza?,"Seek medical care immediately if you live in or have recently 
visited an area experiencing an outbreak and you are suffering flu-like 
symptoms such as fever, cough and difficulty breathing.If you or someone close is experiencing flu-like symptoms, take protective measures:Regular handwashing with proper drying of the handsGood respiratory hygiene – covering mouth and nose when coughing or sneezing, using tissues and disposing of them correctlyEarly self-isolation of those feeling unwell, feverish and having other symptomsAvoid close contact with people with respiratory symptoms"
"Is it safe to eat meat or animal products, such as eggs, from areas with outbreaks of avian influenza?","Meat products and eggs can be safely consumed, provided they 
are properly prepared because influenza viruses are inactivated by 
thorough cooking. Please see ""How can meat and eggs be safely prepared?” for detailed information. Consuming raw or incompletely cooked meat and eggs from areas 
experiencing outbreaks of avian influenza is high-risk and should be 
avoided. Likewise, animals that are sick or have died unexpectedly 
should not be eaten."
Does stopping a course of antibiotics early lead to antibiotic resistance?,"There has been a lot of research into how long antibiotic 
courses should be, to determine the shortest possible length of course 
needed to completely kill all bacteria.
		If you are being treated for an infection, the kind of 
antibiotics your doctor prescribes and the length of the course should 
be based on the best evidence.Feeling better, or an improvement in symptoms, does not always
 mean that the infection has completely gone. Your doctor has had years 
of training and has access to the latest evidence – so always follow 
their advice. Evidence is emerging that shorter courses of antibiotics may 
be just as effective as longer courses for some infections. Shorter 
treatments make more sense – they are more likely to be completed 
properly, have fewer side effects and also likely to be cheaper. They 
also reduce the exposure of bacteria to antibiotics, thereby reducing 
the speed by which the pathogen develops resistance. WHO publishes guidelines about treatments for different 
infections and recommends treatment durations and doses of antibiotics 
based on the best clinical evidence for each case. We continuously 
review the latest research so that we can provide updated 
recommendations to health professionals."
How can meat and eggs be safely prepared?,"To avoid contamination, always keep raw meat and eggs separate from
 cooked or ready-to-eat foods. Do not use the same chopping board or the
 same knife for raw meat and other foods, and do not place cooked meat 
back on the same plate or surface it was on before cooking. After 
handling raw meat, wash your hands thoroughly with soap and water. Do 
not eat raw or soft-boiled eggs. Wash and disinfect all surfaces and 
utensils that have been in contact with raw meat."
Is it safe to visit live poultry markets and farms?,"To avoid contamination, always keep raw meat and eggs separate from
 cooked or ready-to-eat foods. Do not use the same chopping board or the
 same knife for raw meat and other foods, and do not place cooked meat 
back on the same plate or surface it was on before cooking. After 
handling raw meat, wash your hands thoroughly with soap and water. Do 
not eat raw or soft-boiled eggs. Wash and disinfect all surfaces and 
utensils that have been in contact with raw meat."
Is there a vaccine against avian influenza?,"No vaccine for the prevention of avian influenza infections in
 humans is commercially available. WHO is working with partners on 
vaccine development. Some products are already being tested for efficacy
 and safety.The seasonal influenza vaccine does not prevent avian 
influenza, but it may reduce the likelihood of being simultaneously 
infected with both avian and seasonal influenza viruses (dual 
infections). Reducing dual infections decreases the likelihood of 
viruses gaining the ability to spread easily from person to person."
Is it safe to travel to areas reporting human cases of avian influenza?,"WHO does not recommend travel restrictions related to avian 
influenza. However, travellers can take certain measures to reduce the 
risk of infection. Please see ""How can human infections with avian influenza be prevented?"""
What is antimicrobial resistance?,"Antimicrobial resistance occurs when microorganisms such as 
bacteria, viruses, fungi and parasites change in ways that render the 
medications used to cure the infections they cause ineffective. When the
 microorganisms become resistant to most antimicrobials they are often 
referred to as “superbugs”. This is a major concern because a resistant 
infection may kill, can spread to others, and imposes huge costs to 
individuals and society. 

		Antimicrobial resistance is the broader term for resistance in
 different types of microorganisms and encompasses resistance to 
antibacterial, antiviral, antiparasitic and antifungal drugs. Antimicrobial resistance occurs naturally but is facilitated 
by the inappropriate use of medicines, for example using antibiotics for
 viral infections such as cold or flu, or sharing antibiotics. 
Low-quality medicines, wrong prescriptions and poor infection prevention
 and control also encourage the development and spread of drug 
resistance. Lack of government commitment to address these issues, poor 
surveillance and a diminishing arsenal of tools to diagnose, treat and 
prevent also hinder the control of antimicrobial drug resistance."
What is the difference between antibiotic and antimicrobial resistance?,"Antibiotic resistance occurs when bacteria change in response
to the use of antibiotics used to treat bacterial infections (such as
urinary tract infections, pneumonia, bloodstream infections) making them
ineffective.
Antimicrobial resistance is a broader term, encompassing
resistance to drugs that treat infections caused by other microbes as
well, such as parasites (e.g. malaria or helminths), viruses (e.g. HIV)
and fungi (e.g. Candida)."
Why is vaccination important for addressing antibiotic resistance?,"Vaccines can help limit the spread of antibiotic resistance.
		The global increase in disease caused by drug-resistant 
bacteria, due to overuse and misuse of antibiotics, is a major public 
health concern. It is more difficult and costly to treat 
antibiotic-resistant infections and people do not always recover.Vaccinating humans and animals is a very effective way to stop
 them from getting infected and thereby preventing the need for 
antibiotics.
Making better use of existing vaccines and developing new 
vaccines are important ways to tackle antibiotic resistance and reduce 
preventable illness and deaths."
How can existing vaccines have an impact?,"Expanding the use of existing vaccines will reduce the use of antibiotics and the development of resistance.
		For example, if every child in the world received a vaccine to protect them from infection with Streptococcus pneumoniae
 bacteria (which can cause pneumonia, meningitis and middle ear 
infections), this would prevent an estimated 11 million days of 
antibiotic use each year.Vaccines against viruses, such as the flu, also have a role to
 play, because people often take antibiotics unnecessarily when they 
have symptoms such as fever that can be caused by a virus."
How can new vaccines have an impact?,"Developing and using new vaccines to prevent bacterial diseases can further reduce the development of resistance.
		Antibiotics are currently the standard medical intervention for common diseases such as Group A Streptococcus (which causes “strep throat”), for which we do not yet have vaccines.We also need vaccines to stop people from catching diseases 
caused by bacteria that are now frequently antibiotic-resistant. For 
example, there is an alarming spread of multi-drug resistant 
tuberculosis (MDR-TB). In 2015, an estimated 480 000 people were 
infected with MDR-TB.Similarly, new vaccines targeting Staphylococcus aureus (which causes skin and soft tissue infections), Klebsiella pneumoniae (which causes pneumonia and infections of the blood stream and urinary tract), Clostridium difficile
 (which causes diarrhoeal disease), and many others could protect people
 against diseases that are increasingly difficult to treat.Developing new vaccines and getting them used appropriately is
 lengthy and complex. The scientific community needs to prioritise which
 new vaccines would have the greatest impact on antibiotic resistance, 
and promote investment in these."
What is ‘herd immunity’?,"‘Herd immunity’, also known as ‘population immunity’, is a concept used for vaccination, in which a population can be protected from a certain virus if a threshold of vaccination is reached.
Herd immunity is achieved by protecting people from a virus, not by exposing them to it.
Vaccines train our immune systems to create proteins that fight disease, known as ‘antibodies’, just as would happen when we are exposed to a disease but – crucially – vaccines work without making us sick. Vaccinated people are protected from getting the disease in question and passing it on, breaking any chains of transmission. Visit our webpage on COVID-19 and vaccines for more detail.
With herd immunity, the vast majority of a population are vaccinated, lowering the overall amount of virus able to spread in the whole population. As a result, not every single person needs to be vaccinated to be protected, which helps ensure vulnerable groups who cannot get vaccinated are kept safe.
The percentage of people who need to have antibodies in order to achieve herd immunity against a particular disease varies with each disease. For example, herd immunity against measles requires about 95% of a population to be vaccinated. The remaining 5% will be protected by the fact that measles will not spread among those who are vaccinated. For polio, the threshold is about 80%.
Achieving herd immunity with safe and effective vaccines makes diseases rarer and saves lives.
Find out more about the science behind herd immunity by watching or reading this interview with WHO’s Chief Scientist, Dr Soumya Swaminathan."
What is WHO’s position on ‘herd immunity’ as a way of fighting COVID-19?,"Attempts to reach ‘herd immunity’ through exposing people to a virus are scientifically problematic and unethical. Letting COVID-19 spread through populations, of any age or health status will lead to unnecessary infections, suffering and death.
The vast majority of people in most countries remain susceptible to this virus. Seroprevalence surveys suggest that in most countries, less than 10% of the population have been infected with COVID-19.
We are still learning about immunity to COVID-19. Most people who are infected with COVID-19 develop an immune response within the first few weeks, but we don’t know how strong or lasting that immune response is, or how it differs for different people. There have also been reports of people infected with COVID-19 for a second time.         
Until we better understand COVID-19 immunity, it will not be possible to know how much of a population is immune and how long that immunity last for, let alone make future predictions. These challenges should preclude any plans that try to increase immunity within a population by allowing people to get infected.
Although older people and those with underlying conditions are most at risk of severe disease and death, they are not the only ones at risk.
Finally, while most infected people get mild or moderate forms of COVID-19 and some experience no disease, many become seriously ill and must be admitted into hospital. We are only beginning to understand the long-term health impacts among people who have had COVID-19, including what is being described as ‘Long COVID.’ WHO is working with clinicians and patient groups to better understand the long term effects of COVID-19.  
Read the Director-General’s opening remarks at the 12 October COVID-19 briefing for a summary of WHO’s position."
What do we know about immunity from COVID-19?,"Most people who are infected with COVID-19 develop an immune response within the first few weeks after infection.
Research is still ongoing into how strong that protection is and how long it lasts. WHO is also looking into whether the strength and length of immune response depends on the type of infection a person has: without symptoms (‘asymptomatic’), mild or severe. Even people without symptoms seem to develop an immune response.
Globally, data from seroprevalence studies suggests that less 10% of those studied have been infected, meaning that the vast majority of the world’s population remains susceptible to this virus.
For other coronaviruses – such as the common cold, SARS-CoV-1 and Middle East Respiratory Syndrome (MERS) – immunity declines over time, as is the case with other diseases. While people infected with the SARS-CoV-2 virus develop antibodies and immunity, we do not yet know how long it lasts. 
Watch this conversation with Dr Mike Ryan and Dr Maria Van Kerkhove for more information on immunity."
What is WHO’s position on ‘lockdowns’ as a way of fighting COVID-19?,"Large scale physical distancing measures and movement restrictions, often referred to as ‘lockdowns’, can slow COVID‑19 transmission by limiting contact between people.
However, these measures can have a profound negative impact on individuals, communities, and societies by bringing social and economic life to a near stop. Such measures disproportionately affect disadvantaged groups, including people in poverty, migrants, internally displaced people and refugees, who most often live in overcrowded and under resourced settings, and depend on daily labour for subsistence.
WHO recognizes that at certain points, some countries have had no choice but to issue stay-at-home orders and other measures, to buy time.
Governments must make the most of the extra time granted by ‘lockdown’ measures by doing all they can to build their capacities to detect, isolate, test and care for all cases; trace and quarantine all contacts; engage, empower and enable populations to drive the societal response and more.
WHO is hopeful that countries will use targeted interventions where and when needed, based on the local situation."
Will over-use of alcohol-based handrubs result in resistance?,"Unlike other antiseptics and antibiotics, there is no reported or likely resistance to alcohol-based handrubs. Indeed, the more it is appropriately used, the less antibiotic-resistant bacteria are able to spread."
Does alcohol dry the hands or sting when applied?,"Modern alcohol-based handrubs should not (if used correctly) dry the hands. Some staff may be familiar with the generation of alcohol-based handrubs which contained no skin softeners (emollients). Today’s handrubs all contain skin softeners which help prevent drying. Of the published studies available, many describe that nurses who routinely use alcohol rubs have less skin irritation and dryness than those using soap and water. Alcohol handrubs will sting if the staff member has any cuts or broken skin. Such areas should be covered with waterproof plasters. Allergic contact dermatitis due to alcohol-based handrubs is very rare."
How many times can staff use the alcohol rubs?,"There is a common misconception that hands should be washed after every four or five applications of alcohol-based handrub. There is no reason to do this, other than personal preference in some cases (i.e. if hands feel like they need washing or in hot and highly humid climates)."
"Since launching the Guidelines, are you aware off any problems with patients or staff drinking the product?","There have been some reports in the UK and USA of patients drinking alcohol-based handrubs. This is clearly a concern when considering large-scale implementation of these handrubs, and risks should be satisfactorily addressed. A thorough risk assessment should be undertaken. If this is considered to be a risk, these risks can be reduced by issuing staff with handrubs rather than placing them around the bed space. Alternatives include alcohol-based handrub formulation to be locked in wall dispensers. These are the strategies commonly employed in facilities where small children are being cared for. It is important to ensure that placement of the handrubs is targeted at the points of care. Many of the risks associated with alcohol-based handrubs can be further minimized by sensible location of the bottles, aligned with the Five Moments and point of care philosophy."
Are health care staff adversely affected in any way by the alcohol when cleaning their hands?,"There is no evidence to suggest this. Published studies to date have shown that after using the handrubs, alcohol levels found in the blood are insignificant (ethanol) or not detectable (iso-propyl)."
What advice do you have in light of the reports that some countries are considering banning ethanol due to theoretical harmful effects caused by inhalation?,"On the basis of current evidence, both ethanol and isopropanol are safe to use for hand hygiene. The World Alliance for Patient Safety through its Global Patient Safety Challenge programme has established a Task Force of experts to address this issue and to research and verify the potential consequences of ethanol. The Guidelines are being pilot-tested to determine the efficiency of recommendations. The Task Force for investigating the potential harm of ethanol is compiling data on this. Some specific studies have looked at inhalation of ethanol and this has resulted in some countries reviewing its use. However, for hand hygiene, due to the limited time of exposure alcohol is not absorbed in measurable quantities. . In the unlikely event that the Task Force finds ethanol use should be limited, then this formulation will not be recommended by the WHO. The Guidelines will be finalized before the end of 2008."
What are the fire hazards relating to alcohol-based hand rub?,"All alcohol based products are potentially flammable and therefore they should be stored away from high temperatures and flames. The WHO suggests that all health-care organisations currently using alcohol-based handrub should undertake local risk assessments. The benefits of the alcohol in terms of infection prevention far outweigh the fire risks . A study in Infection Control and Hospital Epidemiology (Kramer et al 2007) found that hand rubs have been used in many hospitals for decades, representing an estimated total of 25,038 hospital years of use. The median consumption was between 31 L/month (smallest hospitals) and 450 L/month (largest hospitals), resulting in an overall consumption of 35 million L for all hospitals. A total of 7 non-severe fire incidents were reported. No reports of fire caused by static electricity or other factors were received, nor were any related to storage areas."
